query_id,scene_id,operator,structured_query,gt_object_a,gt_object_b,gt_distance_m,gt_answer_object,surface_pred_distance_m,surface_pred_answer_object,centroid_pred_distance_m,centroid_pred_answer_object
dev_q_0066,scene0030_00,nearest,"nearest(""scene0030_00__table_049"", ""chair"")",scene0030_00__table_049,,0.439788,scene0030_00__chair_007,0.4397882223129272,scene0030_00__chair_007,1.2865617275238037,scene0030_00__chair_013
dev_q_0067,scene0050_00,nearest,"nearest(""scene0050_00__door_009"", ""chair"")",scene0050_00__door_009,,0.344727,scene0050_00__chair_003,0.344726949930191,scene0050_00__chair_003,1.1705049276351929,scene0050_00__chair_003
dev_q_0068,scene0050_00,nearest,"nearest(""scene0050_00__door_010"", ""chair"")",scene0050_00__door_010,,0.510656,scene0050_00__chair_003,0.5106558799743652,scene0050_00__chair_003,1.365506291389465,scene0050_00__chair_003
dev_q_0069,scene0050_00,nearest,"nearest(""scene0050_00__door_034"", ""chair"")",scene0050_00__door_034,,0.427902,scene0050_00__chair_003,0.4279015660285949,scene0050_00__chair_003,1.4234503507614136,scene0050_00__chair_003
dev_q_0070,scene0114_00,nearest,"nearest(""scene0114_00__cabinet_027"", ""chair"")",scene0114_00__cabinet_027,,0.300397,scene0114_00__chair_002,0.3003967404365539,scene0114_00__chair_002,1.0053038597106934,scene0114_00__chair_002
dev_q_0071,scene0114_00,nearest,"nearest(""scene0114_00__door_021"", ""chair"")",scene0114_00__door_021,,1.453301,scene0114_00__chair_005,1.4533008337020874,scene0114_00__chair_005,1.885320067405701,scene0114_00__chair_005
dev_q_0072,scene0181_00,nearest,"nearest(""scene0181_00__cabinet_014"", ""chair"")",scene0181_00__cabinet_014,,1.08063,scene0181_00__chair_003,1.0806299448013306,scene0181_00__chair_003,1.9556331634521484,scene0181_00__chair_003
dev_q_0073,scene0181_00,nearest,"nearest(""scene0181_00__door_022"", ""chair"")",scene0181_00__door_022,,3.216962,scene0181_00__chair_002,3.2169620990753174,scene0181_00__chair_002,3.724319458007813,scene0181_00__chair_002
dev_q_0074,scene0181_00,nearest,"nearest(""scene0181_00__door_028"", ""chair"")",scene0181_00__door_028,,0.327138,scene0181_00__chair_002,0.3271380960941314,scene0181_00__chair_002,1.2490177154541016,scene0181_00__chair_002
dev_q_0075,scene0207_00,nearest,"nearest(""scene0207_00__cabinet_003"", ""chair"")",scene0207_00__cabinet_003,,1.867736,scene0207_00__chair_010,1.867735743522644,scene0207_00__chair_010,2.9392783641815186,scene0207_00__chair_010
dev_q_0076,scene0207_00,nearest,"nearest(""scene0207_00__cabinet_045"", ""chair"")",scene0207_00__cabinet_045,,0.630935,scene0207_00__chair_010,0.6309350728988647,scene0207_00__chair_010,1.7907164096832275,scene0207_00__chair_010
dev_q_0077,scene0207_00,nearest,"nearest(""scene0207_00__door_050"", ""chair"")",scene0207_00__door_050,,3.452555,scene0207_00__chair_010,3.4525551795959473,scene0207_00__chair_010,3.760531187057495,scene0207_00__chair_010
dev_q_0078,scene0222_00,nearest,"nearest(""scene0222_00__door_004"", ""bed"")",scene0222_00__door_004,,0.29485,scene0222_00__bed_000,0.2948498725891113,scene0222_00__bed_000,1.5032775402069092,scene0222_00__bed_000
dev_q_0079,scene0222_00,nearest,"nearest(""scene0222_00__door_024"", ""bed"")",scene0222_00__door_024,,1.601862,scene0222_00__bed_005,1.6018619537353516,scene0222_00__bed_005,2.125710964202881,scene0222_00__bed_005
dev_q_0080,scene0222_00,nearest,"nearest(""scene0222_00__door_025"", ""bed"")",scene0222_00__door_025,,1.5767,scene0222_00__bed_005,1.576700210571289,scene0222_00__bed_005,2.139984130859375,scene0222_00__bed_005
