query_id,scene_id,object_a,label_a,object_b,label_b,surface_ref_distance_m,centroid_distance_m,aabb_distance_m,centroid_abs_error_m,aabb_abs_error_m,aabb_minus_surface_m,centroid_minus_surface_m,aabb_improvement_over_centroid_m
test_stage1_dn_0021,scene0110_00,scene0110_00__chair_000,chair,scene0110_00__door_004,door,2.170804023742676,2.7693583658156977,2.0157352089201743,0.5985543420730219,0.15506881482250146,-0.15506881482250146,0.5985543420730219,0.4434855272505205
test_stage1_dn_0022,scene0110_00,scene0110_00__desk_014,desk,scene0110_00__door_004,door,1.6564383506774902,2.69486583722195,1.5741740465164185,1.0384274865444598,0.08226430416107178,-0.08226430416107178,1.0384274865444598,0.956163182383388
test_stage1_dn_0023,scene0132_00,scene0132_00__chair_001,chair,scene0132_00__monitor_014,monitor,0.5601621270179749,1.198680445301011,0.41553457040986364,0.6385183182830361,0.14462755660811122,-0.14462755660811122,0.6385183182830361,0.49389076167492485
test_stage1_dn_0024,scene0132_00,scene0132_00__sofa_002,sofa,scene0132_00__table_010,table,0.2692267298698425,0.7709524188328437,0.0,0.5017256889630013,0.2692267298698425,-0.2692267298698425,0.5017256889630013,0.23249895909315882
test_stage1_dn_0025,scene0137_01,scene0137_01__bed_003,bed,scene0137_01__door_034,door,0.6580235362052917,2.169975957196632,0.5868015289306641,1.5119524209913404,0.07122200727462769,-0.07122200727462769,1.5119524209913404,1.4407304137167127
test_stage1_dn_0026,scene0137_01,scene0137_01__chair_007,chair,scene0137_01__monitor_009,monitor,0.2886812686920166,1.1479933309791226,0.19177532196044922,0.859312062287106,0.09690594673156738,-0.09690594673156738,0.859312062287106,0.7624061155555386
test_stage1_dn_0027,scene0137_01,scene0137_01__desk_000,desk,scene0137_01__monitor_013,monitor,0.2481965869665146,1.4108365792700868,0.22945356369018555,1.1626399923035722,0.01874302327632904,-0.01874302327632904,1.1626399923035722,1.1438969690272431
test_stage1_dn_0028,scene0138_00,scene0138_00__desk_018,desk,scene0138_00__monitor_005,monitor,0.1779582500457763,1.1089555117483378,0.0,0.9309972617025615,0.1779582500457763,-0.1779582500457763,0.9309972617025615,0.7530390116567851
test_stage1_dn_0029,scene0140_00,scene0140_00__chair_025,chair,scene0140_00__door_034,door,0.7120874524116516,1.3764425338838833,0.2969696521759033,0.6643550814722317,0.4151178002357483,-0.4151178002357483,0.6643550814722317,0.24923728123648337
test_stage1_dn_0030,scene0140_00,scene0140_00__chair_046,chair,scene0140_00__table_001,table,0.183088332414627,2.2627988811685196,0.0,2.0797105487538925,0.183088332414627,-0.183088332414627,2.0797105487538925,1.8966222163392654
test_stage1_dn_0031,scene0141_00,scene0141_00__cabinet_057,cabinet,scene0141_00__desk_012,desk,0.3524557948112488,1.3797460373470378,0.0,1.027290242535789,0.3524557948112488,-0.3524557948112488,1.027290242535789,0.6748344477245403
test_stage1_dn_0032,scene0141_00,scene0141_00__desk_011,desk,scene0141_00__sofa_001,sofa,0.1614396125078201,1.4242788355378282,0.0,1.262839223030008,0.1614396125078201,-0.1614396125078201,1.262839223030008,1.101399610522188
test_stage1_dn_0033,scene0141_00,scene0141_00__door_023,door,scene0141_00__sofa_001,sofa,0.1721944063901901,1.7068217278431816,0.017752885818481445,1.5346273214529915,0.15444152057170865,-0.15444152057170865,1.5346273214529915,1.3801858008812828
test_stage1_dn_0034,scene0142_00,scene0142_00__cabinet_037,cabinet,scene0142_00__chair_019,chair,0.2170539945363998,0.7715090014683791,0.1663517951965332,0.5544550069319792,0.05070219933986661,-0.05070219933986661,0.5544550069319792,0.5037528075921126
test_stage1_dn_0035,scene0142_00,scene0142_00__cabinet_037,cabinet,scene0142_00__table_006,table,0.1605832576751709,1.085773958674463,0.0,0.9251907009992921,0.1605832576751709,-0.1605832576751709,0.9251907009992921,0.7646074433241212
test_stage1_dn_0036,scene0142_00,scene0142_00__monitor_035,monitor,scene0142_00__table_005,table,0.1954696178436279,0.7187437279002868,0.0,0.5232741100566589,0.1954696178436279,-0.1954696178436279,0.5232741100566589,0.327804492213031
test_stage1_dn_0037,scene0143_01,scene0143_01__bed_011,bed,scene0143_01__cabinet_004,cabinet,0.793123722076416,1.9904302904283402,0.76161789894104,1.1973065683519242,0.03150582313537598,-0.03150582313537598,1.1973065683519242,1.1658007452165482
test_stage1_dn_0038,scene0143_01,scene0143_01__cabinet_004,cabinet,scene0143_01__desk_008,desk,0.5786240696907043,1.8429530631658606,0.5679354667663574,1.2643289934751563,0.010688602924346924,-0.010688602924346924,1.2643289934751563,1.2536403905508093
test_stage1_dn_0039,scene0144_00,scene0144_00__bed_000,bed,scene0144_00__door_019,door,1.6725764274597168,2.7075094655159275,1.6142153143882751,1.0349330380562107,0.05836111307144165,-0.05836111307144165,1.0349330380562107,0.9765719249847691
test_stage1_dn_0040,scene0144_00,scene0144_00__chair_003,chair,scene0144_00__table_001,table,0.2603173851966858,0.8641959941934266,0.0,0.6038786089967408,0.2603173851966858,-0.2603173851966858,0.6038786089967408,0.34356122380005505
test_stage1_dn_0041,scene0144_00,scene0144_00__chair_021,chair,scene0144_00__door_011,door,0.172589436173439,1.4206164558219039,0.0,1.2480270196484649,0.172589436173439,-0.172589436173439,1.2480270196484649,1.0754375834750258
test_stage1_dn_0042,scene0181_00,scene0181_00__chair_002,chair,scene0181_00__door_028,door,0.3271380960941314,1.2490177595313428,0.30879998207092285,0.9218796634372113,0.018338114023208563,-0.018338114023208563,0.9218796634372113,0.9035415494140027
test_stage1_dn_0043,scene0181_00,scene0181_00__door_028,door,scene0181_00__table_023,table,0.5557606220245361,1.9033569383497604,0.35722027202025386,1.3475963163252243,0.19854035000428227,-0.19854035000428227,1.3475963163252243,1.149055966320942
test_stage1_dn_0044,scene0181_00,scene0181_00__sofa_024,sofa,scene0181_00__table_005,table,0.3954781591892242,1.0924645706927436,0.0,0.6969864115035194,0.3954781591892242,-0.3954781591892242,0.6969864115035194,0.3015082523142952
